 PART_CODE, TRD_PRICE
CITIBNPPARIA,555.35
CITIBNPPARIA,555.35
CITIBNPPARIA,555.35
CITIBNPPARIA,392.6
CITIBNPPARIA,557
CITIBNPPARIA,555.35
CITIBNPPARIA,555.35
CITIBNPPARIA,392.6
CITIBNPPARIA,557
CITIBNPPARIA,555.35
CITIBNPPARIA,555.35
CITIBNPPARIA,392.6
CITIBNPPARIA,557
CITIBNPPARIA,555.35
STANBACAMALI,396.15
STANBACAMALI,396.15
STANBACAMALI,396.15
STAN00000263,99.65
STAN00000263,99.65
STANBACAMALI,99.65
STAN00000263,99.65
STAN00000263,99.65
STANBACAMALI,99.65
STAN00000263,99.65
STAN00000263,99.65
CITI00001488,469.3
CITIMACQBANK,469.3
CITI00001488,469.3
CITI00001488,469.3
